pmid,tier,model,verdict,domains,reason,parse_error,error,latency_s,cost_usd,call_started_utc
32379808,opus48,claude-opus-4-8,Maybe,D3,Measures loot box exposure prevalence but focuses on monetisation economics without behavioral or psychological measures; full-text review needed.,,,6.81,0.204165,2026-06-03T23:17:38.540417+00:00
31129456,opus48,claude-opus-4-8,Include,D3,Peer-reviewed empirical study on loot box purchasing linked to problem gaming and gambling severity in adult gamers.,,,7.2,0.203003,2026-06-03T23:17:38.543231+00:00
40161348,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed validation of a loot box risk scale linking loot box behavior to gambling and gaming disorder constructs.,,,7.45,0.20604,2026-06-03T23:17:38.540521+00:00
38890438,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed empirical study measuring loot box and microtransaction spending with risky loot box use, directly relevant to gacha/loot-box collecting.",,,8.29,0.203809,2026-06-03T23:17:38.540218+00:00
39264722,opus48,claude-opus-4-8,Maybe,D3,IGD study mentions loot box microtransactions as risky behavior but does not centrally examine hoarding or collecting constructs; full-text needed.,,,9.15,0.175338,2026-06-03T23:17:38.540352+00:00
33560241,opus48,claude-opus-4-8,Include,D3,Peer-reviewed empirical study of adolescent loot box purchasing linked to problem gaming in a Japanese population sample.,,,3.88,0.189577,2026-06-03T23:17:45.346997+00:00
32822251,opus48,claude-opus-4-8,Include,D3|Cross-domain,Empirical survey examining loot boxes and microtransactions linking problematic gaming to gambling disorder in emerging adults.,,,3.68,0.173707,2026-06-03T23:17:45.987621+00:00
34413815,opus48,claude-opus-4-8,Maybe,D3,"Empirical study on in-game purchases and loot box spending, but focuses on psychosocial adjustment rather than collecting or hoarding behavior specifically.",,,4.06,0.174776,2026-06-03T23:17:45.745392+00:00
37594878,opus48,claude-opus-4-8,Include,D3|Cross-domain,Empirical survey linking loot box spending to OCD and hoarding symptomatology in gamers.,,,11.29,0.1708,2026-06-03T23:17:38.540290+00:00
31881408,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Empirical survey linking loot box engagement to problem gambling severity in adolescent gamers, directly relevant to gacha/loot-box collecting.",,,4.13,0.188359,2026-06-03T23:17:46.834993+00:00
35085370,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Peer-reviewed scoping review of loot box engagement linked to problematic gaming and gambling, matching D3 and hoarding-related constructs.",,,4.32,0.315503,2026-06-03T23:17:47.688617+00:00
38603322,opus48,claude-opus-4-8,Exclude,,"Study examines locative gaming behavior and microtransaction spending during COVID-19, with no hoarding, collecting, or accumulation construct.",,,3.81,0.189577,2026-06-03T23:17:49.809364+00:00
38148441,opus48,claude-opus-4-8,Maybe,D3,Examines loot box prevalence in children's mobile games but focuses on monetization/gambling normalization; full-text needed to confirm behavioral measures.,,,4.09,0.169544,2026-06-03T23:17:49.825656+00:00
31978759,opus48,claude-opus-4-8,Include,D3,"Empirical study of Fortnite microtransaction and loot box spending behavior, examining psychological and social predictors of in-game purchasing.",,,4.82,0.172375,2026-06-03T23:17:49.663052+00:00
32106893,opus48,claude-opus-4-8,Exclude,,"Study examines gaming disorder epidemiology and motives, not hoarding, loot box collecting, or any target accumulation behavior; microtransaction use only descriptively noted.",,,7.48,0.174325,2026-06-03T23:17:49.226201+00:00
35058842,opus48,claude-opus-4-8,Exclude,,"Studies cosmetic microtransactions' effect on avatar identification and performance, not item hoarding, collecting, or loss aversion constructs.",,,5.98,0.169732,2026-06-03T23:17:50.968757+00:00
36274342,opus48,claude-opus-4-8,Include,D3,Peer-reviewed empirical study linking loot box purchasing and microtransaction engagement to gaming disorder in adolescents.,,,4.71,0.174082,2026-06-03T23:17:53.617756+00:00
39302638,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Peer-reviewed empirical study on problematic loot box use mediating gaming and gambling disorders, directly relevant to gacha/loot-box collecting.",,,5.39,0.176744,2026-06-03T23:17:53.914042+00:00
35990074,opus48,claude-opus-4-8,Include,D3|Cross-domain,Empirical survey linking gacha purchasing behavior and motives to problem gambling risk in young adult gamers.,,,5.14,0.174757,2026-06-03T23:17:54.485461+00:00
37151299,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed empirical study measuring loot box consumption prevalence among adolescents, directly relevant to gacha/loot box collecting behavior.",,,3.92,0.169451,2026-06-03T23:17:56.949514+00:00
36497782,opus48,claude-opus-4-8,Maybe,D3,"F2P microtransaction spending and IGD; relevant to gacha/loot-box collecting but focuses on spending motives, needs full-text to confirm behavioral hoarding link.",,,4.44,0.172263,2026-06-03T23:17:56.706218+00:00
41140132,opus48,claude-opus-4-8,Exclude,,Editorial without original data; excluded under exclusion criterion 4 despite loot box subject matter.,,,9.55,0.168232,2026-06-03T23:17:52.006325+00:00
35733406,opus48,claude-opus-4-8,Exclude,,"Study examines sex differences in competitiveness in MMORPGs, not hoarding, collecting, or loss aversion behaviors within scope.",,,3.94,0.172844,2026-06-03T23:17:58.330465+00:00
32514653,opus48,claude-opus-4-8,Include,D3,Empirical study of loot box purchasing behavior and its relationship to gambling risk and protective factors in youth gamers.,,,3.42,0.168232,2026-06-03T23:17:59.301803+00:00
41842938,opus48,claude-opus-4-8,Maybe,D1|D3|Cross-domain,Conceptual paper linking gacha sunk-cost and loss aversion to gaming persistence; full-text review needed to confirm original empirical data.,,,4.71,0.169957,2026-06-03T23:17:59.629263+00:00
33578105,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Peer-reviewed empirical study of loot box spending correlated with problem gambling, directly matching gacha/loot-box collecting and gambling-link constructs.",,,4.04,0.174963,2026-06-03T23:18:01.148956+00:00
40211461,opus48,claude-opus-4-8,Exclude,,Critiques LGBTQ+ commodification via microtransactions but focuses on monetization economics without behavioral or psychological hoarding/collecting measures.,,,4.37,0.167819,2026-06-03T23:18:00.865310+00:00
31681510,opus48,claude-opus-4-8,Include,D3|Cross-domain,Empirical before-after study linking loot box spending to problem gambling severity in a real game.,,,3.34,0.171382,2026-06-03T23:18:02.266358+00:00
40307922,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Longitudinal study of loot box spending predicting gambling migration in young adult gamers, linking loot box behavior to gambling.",,,4.83,0.174401,2026-06-03T23:18:01.553736+00:00
38126068,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Pre-registered empirical survey of loot box purchasers linking engagement to problem gambling, impulsivity, and compulsion motivations.",,,4.76,0.172694,2026-06-03T23:18:02.720456+00:00
38557083,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed empirical IRT study measuring risky loot box use among adolescents, directly relevant to gacha/loot box collecting behavior.",,,4.0,0.18121,2026-06-03T23:18:04.337696+00:00
33604174,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed empirical study examining loot box spending and its association with problem gambling symptomology in gamers.,,,3.97,0.174175,2026-06-03T23:18:05.239078+00:00
37729858,opus48,claude-opus-4-8,Include,D3|Cross-domain,Empirical survey linking loot box spending to problem gambling and risk factors in Chinese players.,,,3.99,0.173238,2026-06-03T23:18:05.605062+00:00
32306232,opus48,claude-opus-4-8,Maybe,D3,"Systematic review on virtual communities in monetary gaming touches microtransactions, but focus is gambling/social interaction; full-text needed to confirm loot-box relevance.",,,5.25,0.174344,2026-06-03T23:18:05.188464+00:00
35129238,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed empirical study measuring loot box purchasing behavior and socioeconomic correlates in UK gamers, directly relevant to gacha/loot-box collecting.",,,3.81,0.176332,2026-06-03T23:18:08.342736+00:00
31030176,opus48,claude-opus-4-8,Include,D3,Peer-reviewed empirical study on loot box engagement linked to problematic gambling and gambling-related cognitions in gamers.,,,4.26,0.172282,2026-06-03T23:18:09.208359+00:00
39607381,opus48,claude-opus-4-8,Include,D3,Empirical study examining risky loot box purchasing as a mediator between problem gaming and problem gambling.,,,3.3,0.188471,2026-06-03T23:18:10.438515+00:00
38179078,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Peer-reviewed empirical study examining loot box engagement and its links to problem gambling, gaming, and impulsivity constructs.",,,4.17,0.172938,2026-06-03T23:18:09.595973+00:00
33886033,opus48,claude-opus-4-8,Exclude,,"Study examines gaming motivations and autistic traits predicting playtime, not hoarding behaviors; completionism appears only as a motivation scale label, not a studied construct.",,,6.35,0.16855,2026-06-03T23:18:07.480857+00:00
40945152,opus48,claude-opus-4-8,Maybe,D3,"Loot box compliance content analysis is regulatory/economic with no behavioral or psychological measures, so eligibility needs full-text review.",,,8.66,0.200744,2026-06-03T23:18:06.379534+00:00
34882238,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Empirical survey of loot box purchasing linked to gambling, guilt, loss of control, and emotional distress.",,,4.32,0.170538,2026-06-03T23:18:12.150745+00:00
34945245,opus48,claude-opus-4-8,Include,D3,"Peer-reviewed validation of a scale measuring motivations for loot box purchasing, directly examining loot box engagement behavior.",,,3.73,0.188678,2026-06-03T23:18:13.736174+00:00
33012944,opus48,claude-opus-4-8,Exclude,,"Studies psychological ownership for in-game advertising effectiveness, not virtual item hoarding or any of the five behavioral domains.",,,4.28,0.169525,2026-06-03T23:18:13.764595+00:00
36998766,opus48,claude-opus-4-8,Exclude,,"Studies loot box warning-label regulatory compliance, not player behavioral or psychological measures; falls outside scope.",,,4.84,0.173669,2026-06-03T23:18:13.466262+00:00
40839469,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Empirical survey linking loot box spending to problem gambling, directly matching gacha/loot box collecting domain with gambling construct.",,,5.14,0.174663,2026-06-03T23:18:13.835270+00:00
36623473,opus48,claude-opus-4-8,Maybe,D3,"Esports betting study includes risky loot box use measure, but focus is gambling profiles; full-text review needed for loot box relevance.",,,5.14,0.172207,2026-06-03T23:18:15.043871+00:00
41179232,opus48,claude-opus-4-8,Exclude,,Vaccine production and access policy in Africa; no game component or hoarding-behavior construct relevant to the review.,,,4.28,0.187328,2026-06-03T23:18:17.464089+00:00
30845155,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed empirical survey linking loot box spending to problem gambling severity in gamers.,,,3.7,0.170913,2026-06-03T23:18:18.048653+00:00
34267563,opus48,claude-opus-4-8,Exclude,,"Study on WeChat users' valuation of personal information, no game component despite endowment effect and psychological ownership.",,,3.79,0.169338,2026-06-03T23:18:18.302768+00:00
35834117,opus48,claude-opus-4-8,Include,D3,"Pre-registered empirical study of loot box purchasing versus earning harms in Overwatch, directly examining loot box collecting behavior.",,,5.96,0.171175,2026-06-03T23:18:16.474686+00:00
40369012,opus48,claude-opus-4-8,Maybe,D3,"Peer-reviewed empirical study on loot box content engagement via YouTube, but measures viewer engagement rather than direct in-game collecting behavior.",,,3.93,0.170575,2026-06-03T23:18:18.977274+00:00
35381433,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed empirical study examining loot box engagement and its association with problem gambling scores in video gamers.,,,3.73,0.173125,2026-06-03T23:18:21.750146+00:00
30940247,opus48,claude-opus-4-8,Exclude,,Commentary on incentive-hope theory in slot machine gambling without loot box or gacha game mechanic component.,,,3.86,0.165025,2026-06-03T23:18:21.749151+00:00
35933619,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed empirical survey of loot box expenditure and its links to gambling and impulsiveness among PRC players.,,,5.31,0.174382,2026-06-03T23:18:22.437959+00:00
41556971,opus48,claude-opus-4-8,Exclude,,"Commentary without original data; advocates studying non-digital gaming, meeting exclusion criterion 4 for opinion pieces.",,,5.24,0.171775,2026-06-03T23:18:22.903547+00:00
31312481,opus48,claude-opus-4-8,Include,D3|Cross-domain,Peer-reviewed empirical survey linking adolescent loot box spending to problem gambling with purchase motivations.,,,6.32,0.1708,2026-06-03T23:18:22.090707+00:00
40569695,opus48,claude-opus-4-8,Exclude,,"Studies loot box advertising compliance and regulation, not behavioral or psychological measures of hoarding or collecting behavior.",,,8.61,0.17305,2026-06-03T23:18:20.184879+00:00
31760581,opus48,claude-opus-4-8,Include,D3|Cross-domain,"Empirical study of loot box reward reactivity, linking rare-item collecting behavior to gambling and excessive-use constructs.",,,4.53,0.171832,2026-06-03T23:18:25.613070+00:00
36202911,opus48,claude-opus-4-8,Include,D3|D1,"Empirical study of loot box reward exposure effects on risk-taking, linking loot box engagement to problem gambling and loss aversion.",,,4.7,0.172282,2026-06-03T23:18:25.483630+00:00
41058647,opus48,claude-opus-4-8,Include,D3,Peer-reviewed empirical study of gacha gaming behaviors and expenses linked to problem gambling risk among young adults.,,,3.72,0.175169,2026-06-03T23:18:27.746291+00:00
