item_id,criterion,tier,model,verdict,reason,parse_error,error,latency_s,cost_usd
GHI-01,SCOPE,sonnet,claude-sonnet-4-6,violates,"The stem describes a near-universal saving behavior with no distress, impairment, frequency escalation, or loss-of-control marker.",,,3.21,0.013855
GHI-01,SCOPE,opus,claude-opus-4-7,violates,"Saving powerful consumables for a rarely-arriving moment of need is near-universal among engaged players, with no frequency, distress, or loss-of-control marker.",,,3.57,0.100162
GHI-01,LANGUAGE,sonnet,claude-sonnet-4-6,ok,The stem uses no clinical-disorder vocabulary; it describes saving behavior as a consequence without diagnostic labels.,,,3.4,0.01369
GHI-01,LANGUAGE,opus,claude-opus-4-7,ok,"Stem uses neutral descriptive language ('save', 'moment of need') without clinical-disorder vocabulary like addiction, compulsion, or obsession.",,,3.56,0.100388
GHI-01,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,violates,Saving items for future need is normatively rational under incomplete information; the stem frames this adaptive behavior as inherently symptom-like.,,,4.99,0.013915
GHI-01,LANGUAGE,haiku,claude-haiku-4-5,ok,Uses plain descriptive language; avoids clinical-disorder vocabulary and does not presuppose disorder.,,,14.45,0.013781
GHI-01,OVERPATHOLOGIZING,opus,claude-opus-4-7,violates,"Frames normatively rational saving of consumables for uncertain future challenges as problematic, without any distress, impairment, or loss-of-control marker.",,,4.38,0.100687
GHI-01,SCOPE,haiku,claude-haiku-4-5,violates,"Saving consumables is near-universal in engaged play; the qualifier 'rarely comes' lacks explicit distress, impairment, or loss-of-control markers.",,,18.26,0.013221
GHI-02,SCOPE,sonnet,claude-sonnet-4-6,ok,The item includes an explicit distress marker ('feel that I have lost something valuable') distinguishing it from normal engaged play.,,,2.87,0.013795
GHI-02,SCOPE,opus,claude-opus-4-7,ok,"Stem includes distress marker ('lost something valuable') and escalation qualifier ('even when strategically sound'), distinguishing it from normal engaged play.",,,3.38,0.100219
