pmid,title,authors,year,journal,abstract,domains,game_score,hoarding_score,relevance_score,source_query
38890438,The associations between autistic characteristics and microtransaction spending.,Charnock Tegan et al.,2024,Scientific reports,"Microtransactions provide optional, virtual, video game goods that, for an additional cost to the player, provide additional game content and alter the gameplay experience. Loot boxes-a specific form of microtransaction-offer randomised rewards in exchange for payment, and are argued to be structurally and psychologically similar to gambling. Nascent research suggests that a link exists between autism and both problematic gaming and problematic gambling. Here, we investigated the relationships between autistic characteristics and experiences, and excessive video gaming and microtransaction expenditure. A sample of 1178 adults from Australia, Aotearoa, and The United States were recruited from Prolific Academic, and completed a survey measuring in-game expenditure, autistic characteristics and experiences, problematic gaming, problematic gambling, and risky loot box use. Analyses showed positive associations between autistic characteristics and experiences with problematic gaming and problem gambling symptomatology. However, results also showed a small, negative association between autistic characteristics and experiences and spending on loot boxes when problem gambling symptoms, problematic gaming, and risky loot box use were statistically controlled for. These results suggest that autistic gamers may be vulnerable to problematic gaming and gambling, but that this effect does not extend to the purchasing of microtransactions.",D3: Gacha / Loot box,6,3,18,Q1+Q2
37594878,"The potential relationship between loot box spending, problem gambling, and obsessive-compulsive gamers.",Garea Shaun S et al.,2023,Journal of behavioral addictions,"Loot boxes are digital containers of randomised rewards available in many video games. Individuals with problem gambling symptomatology spend more on loot boxes than individuals without such symptoms. This study investigated whether other psychopathological symptomatology, specifically symptoms of obsessive-compulsive behaviour and hoarding may also be associated with increased loot box spending. In a large cross-sectional, cross-national survey (N = 1,049 after exclusions), participants recruited from Prolific, living in Aotearoa New Zealand, Australia, and the United States, provided self-reported loot box spending, obsessive-compulsive and hoarding symptomatology, problem gambling symptomatology, and consumer regret levels. There was a moderate positive relationship between loot box spending and obsessive-compulsive symptoms and hoarding. Additionally, greater purchasing of loot boxes was associated with increased consumer regret. Results identified that those with OCD and hoarding symptomatology may spend more on loot boxes than individuals without OCD and hoarding symptomatology. This information helps identify disproportionate spending to more groups of vulnerable players and may assist in helping consumers make informed choices and also aid policy discussions around the potentialities of harm.",D3: Gacha / Loot box; Cross-domain: Hoarding link,6,3,18,Q1+Q2
39264722,Internet gaming disorder and risky behaviours among Czech adolescents: A nationally representative study.,Suchá Jaroslava et al.,2024,Journal of behavioral addictions,"The aim of the present study was to estimate the complex association between Internet Gaming Disorder (IGD), substance use, and other risky behaviours in Czech adolescents whilst providing prevalence estimates of IGD and psychometric information regarding the Czech Internet Gaming Disorder Scale-Short-Form (IGDS9-SF). A representative sample of 3,950 Czech adolescents was recruited through stratified random sampling in the school setting. Disordered gamers showed frequent use of specific substances such as pharmaceuticals, methylenedioxymethamphetamine, and lysergic acid diethylamide. In contrast, non-gamers had higher prevalence of alcohol, cigarettes, sedatives and tranquillisers, and marijuana use. A logistic regression, utilising IGDS9-SF raw scores and average daily gaming time, revealed a U-shaped relationship between gaming and both alcohol and cigarette use. Additionally, conduct problems such as bullying, and risky in-game behaviours were more prevalent among disordered gamers, with the exception of forging parents' signatures. The overall prevalence of IGD was 3.62% (95% CI = [3.1%, 4.3%]), with higher rates in males (5.89%; 95% CI = [4.9%, 7.0%]) than in females (1.45%; 95% CI = [1.0%, 2.1%]). The Czech IGDS9-SF used in the present study showed adequate psychometric properties. The association between gaming and substance use behaviours may be specific and multifaceted depending on the severity of the gaming-related problems. Furthermore, disordered gamers may become more vulnerable due to a higher incidence of conduct problems, bullying (victimisation), and in-game risky behaviours such as engagement with microtransactions mechanics (e.g., loot box) within video games.",D3: Gacha / Loot box,5,3,15,Q1+Q2
32379808,"The changing face of desktop video game monetisation: An exploration of exposure to loot boxes, pay to win, and cosmetic microtransactions in the most-played Steam games of 2010-2019.",Zendle David et al.,2020,PloS one,"It is now common practice for video game companies to not just sell copies of games themselves, but to also sell in-game bonuses or items for a small real-world fee. These purchases may be purely aesthetic (cosmetic microtransactions) or confer in-game advantages (pay to win microtransactions), and may also contain these items as randomised contents of uncertain value (loot boxes). The growth of microtransactions has attracted substantial interest from both gamers, academics, and policymakers. However, it is not clear either how frequently exposed players are to these features in desktop games, or when any growth in exposure occurred. In order to address this, we analysed the play history of the 463 most-played Steam desktop games from 2010 to 2019. Results of exploratory joinpoint analyses suggested that cosmetic microtransactions and loot boxes experienced rapid growth during 2012-2014, leading to high levels of exposure by April 2019: 71.2% of the sample played games with loot boxes at this point, and 85.89% played games with cosmetic microtransactions. By contrast, pay to win microtransactions did not appear to experience similar growth in desktop games during the period, rising gradually to an exposure rate of 17.3% by November 2015, at which point growth decelerated significantly (p<0.001) to the point where it was not significantly different from zero (p = 0.32).",D3: Gacha / Loot box; D6: Backlog,5,3,15,Q1
40161348,Psychometric evaluation of the Chinese version of Risky Loot Box Index (RLI) and cross-sectional investigation among gamers of China.,Guo Peidong et al.,2025,PeerJ,"Nowadays, many of the top-selling video games include options to purchase loot boxes as paid virtual items. As research progressed, loot boxes have been found to have similar characteristics to gambling, and there has been an ongoing debate as to whether loot boxes can be defined as gambling. In order to better study loot boxes, psychometrically meaningful scales are necessary. The Risky Loot Box Index (RLI) was developed by Brooks and Clark, which is the most commonly used tool to assess the use of loot boxes. This study aimed to translate the original RLI into Chinese and evaluate its psychometric properties. Two samples were recruited through online gaming forums (n = 143) and offline internet cafes (n = 236). An exploratory factor analysis of the online sample yielded a one-dimensional nine-item model, with the factor focused on risky behaviors associated with loot boxes. The confirmatory factor analysis carried out on the offline sample corroborated the results obtained from the exploratory factor analysis, and the Chinese version of the RLI displays satisfactory psychometric properties. Furthermore, the Problem Gambling Severity Index (r = 0.57, P < 0.001) and the Internet Gaming Disorder Scale-Short Form (r = 0.67, P < 0.001) were found to be significantly associated with the RLI. We also found that players with high RLI scores may have higher levels of anxiety and depression, and they were more willing to spend money on loot boxes, with some spending nearly all their earnings. Interestingly, no significant correlations between age, gender, education, or income level, and the RLI were found.",D3: Gacha / Loot box; D4: Inventory / virtual possession; D6: Backlog,7,2,14,Q1+Q2
31129456,The relationship of loot box purchases to problem video gaming and problem gambling.,Li Wen et al.,2019,Addictive behaviors,"Loot boxes are virtual items in many video games that let players ""gamble"" on an item of chance. Loot boxes bring an element of gambling into video games, which might prime video game users to engage in online gambling activities. However, few studies have focused on this emerging issue. The present study investigated the relationships between loot box purchases and both problem video gaming and problem gambling severity. Cross-sectional, self-report data were collected from 618 adult video gamers (M = 27 years of age, SD = 8.9, 63.7% male) via an online survey. Nearly half of the sample (44.2%) spent money on loot box purchases in the past year. Loot box purchasers played video games and gambled online more frequently, reported more extended gaming and online gambling sessions, and endorsed higher levels of problem video gaming and problem gambling severity as well as greater mental distress relative to those who did not buy loot boxes. Results from a series of path analyses revealed that loot box purchasing was directly related to problem video gaming and problem gambling severity as well as indirectly through increased video gaming/online gambling engagement, which in turn is related to elevated psychological distress. The present findings provide insight into the role of loot box purchasing in the transition from recreational engagement in video gaming and online gambling to problem video gaming and/or problem gambling.",D3: Gacha / Loot box; D4: Inventory / virtual possession; D6: Backlog,7,2,14,Q1+Q2
33560241,Adolescent Problem Gaming and Loot Box Purchasing in Video Games: Cross-sectional Observational Study Using Population-Based Cohort Data.,Ide Soichiro et al.,2021,JMIR serious games,"Video game loot boxes, which can typically be purchased by players or are given as reward, contain random virtual items, or loot, ranging from simple customization options for a player's avatar or character, to game-changing equipment such as weapons and armor. Loot boxes have drawn concern, as purchasing loot boxes might lead to the development of problematic gambling for adolescents. Although parental problem gambling is associated with adolescent problem gambling, no studies have evaluated the prevalence of loot box purchases in adolescents' parents. This study investigated the association between loot box purchasing among adolescents and parents, and problem online gaming in population-based samples. In total, 1615 adolescent (aged 14 years) gamers from Japan responded to a questionnaire regarding their loot box purchasing and problem online gaming behaviors. Problem online gaming was defined as four or more of the nine addictive behaviors from the Diagnostic and Statistical Manual of Mental Disorders. The adolescents' primary caregivers were asked about their loot box purchasing. Of the 1615 participants, 57 (3.5%) reported loot box purchasing. This prevalence did not differ according to primary caregivers' loot box purchasing, but adolescents who purchased loot boxes were significantly more likely to exhibit problem online gaming (odds ratio 3.75, 95% CI 2.17-6.48). Adolescent loot box purchasing is linked to problem online gaming, but not with parents' loot box purchasing. Measures to reduce these behaviors should target reducing addictive symptoms in young video gamers.",D3: Gacha / Loot box; D4: Inventory / virtual possession; D6: Backlog,7,2,14,Q1+Q2
34413815,Psychosocial Adjustment and Mental Distress Associated With In-Game Purchases Among Japanese Junior High School Students.,Shinkawa Hiroki et al.,2021,Frontiers in psychology,"In-game purchases, including microtransactions and loot box spending, are the monetization systems of free-to-play online games. Although some studies have suggested that excessive in-game purchases increase the risk of psychosocial maladjustment and mental distress as well as predict future problematic gaming and gambling practices, empirical studies on problematic behavioral patterns related to in-game purchasing among adolescents are lacking. This study sought to explore whether knowing the style of in-game purchases (non-purchase, planned purchase, or unplanned purchase) could be useful when characterizing maladaptive behavior among adolescents from the perspective of psychosocial adjustment and mental distress. A total of 335 junior high school students (aged 12-15 years) participated in the survey and completed a questionnaire assessing daily online gaming usage, in-game purchases, psychosocial adjustment, and mental distress. The results showed that (1) 30.7% of students had previously made in-game purchases, and at least 14.0% had made unplanned in-game purchases; (2) 19.2% of the users who had made unplanned purchases had spent greater than or equal to their actual monthly allowance within the past month, and (3) unplanned purchase gamers exhibited more behavioral problems and peer problems regarding psychosocial adjustment compared to planned purchase gamers, and more overall difficulties compared to non-purchasers. Meanwhile, more hyperactivity/inattention was seen among in-game purchasers compared to non-purchasers, regardless of whether the purchase was planned or unplanned. These findings support that understanding whether adolescents make unplanned in-game purchases could be a useful approach to describing the characteristics of online gamers with maladaptive tendencies.",D3: Gacha / Loot box; D6: Backlog,4,3,12,Q1+Q2
32822251,"Risk Factors of Problem Gaming and Gambling in US Emerging Adult Non-Students: The Role of Loot Boxes, Microtransactions, and Risk-Taking.",King Anthony et al.,2020,Issues in mental health nursing,"Video gaming and gambling have increasingly converged with one another (e.g., social casino games). For emerging adults (18-25 years old), who are already at an elevated risk for addictive disorders, this overlap in these activities may increase the likelihood of problematic involvement. At the moment, Internet gaming disorder (IGD) is being considered as a future medical diagnosis by the American Psychiatric Association. Therefore, the purpose of this study was to examine the potential comorbidity between IGD and gambling disorder (GD) in emerging adults, as well as explore if problematic engagement in gaming and gambling may be explained by recent trends in video game microtransactions (e.g., loot boxes) and risk-taking behaviors. An online survey was completed by 300 emerging adult non-students (Mage = 22.79, 49% male) from across the United States. The results revealed that compared to non-gamers, problematic gamers were 6.45 times more likely to problem gamble and compared to non-gamblers, problem gamblers were 5.62 times more likely to problem game. Microtransactions were the major mechanism for the relationship between IGD and GD. Participants with higher severity levels of either disorder demonstrated a greater likelihood of purchasing microtransactions, in addition to displaying significantly less aversion towards several domains of risk-taking. These findings suggest that emerging adults with probable IGD or GD may share common risk factors and patterns of behavior that transdiagnostic treatment approaches may better serve than syndrome-specific models.",D3: Gacha / Loot box,4,3,12,Q1
31881408,Loot box engagement and problem gambling among adolescent gamers: Findings from a national survey.,Kristiansen Søren et al.,2020,Addictive behaviors,"Loot boxes represent a form of microtransaction in many video games that have some resemblance with gambling. Research on this subject is still in its infancy, and particular there are few studies involving young people. Using cross-sectional survey data from a representative sample of 1,137 participants aged 12-16 years, this study examined loot box engagement patterns and links with problem gambling severity. Nearly half (45.6%) of the participants that were involved in gaming in the past year engaged in loot box activities at some level, and loot box users were predominantly male. The vast majority of the males (93%) had earned, bought, or sold items from a loot box whereas 15% of the females reported engagement with loot boxes. There was a significant positive correlation between loot box engagement and problem gambling severity when controlling for core demo-graphic factors. Compared to participants with no engagement or participants who solely obtained a loot box, the proportions of at-risk and problem gamblers were higher among those, who had purchased or sold items from a loot box. The findings provide new insights into the links between loot box engagement and problem gambling among adolescent populations. Specifically, the study provides new knowledge on different engagement patterns among loot box users and their implications. On this basis, different measures to reduce loot box purchases and reduce marketplace structures are discussed.",D3: Gacha / Loot box; D6: Backlog,5,2,10,Q1+Q2
