item_id,criterion,tier,model,verdict,reason,parse_error,error,latency_s,cost_usd
GHI-01,SCOPE,sonnet,claude-sonnet-4-6,ok,"The stem includes an explicit distress marker ('real disappointment or regret'), distinguishing it from universal normal play.",,,3.21,0.013817
GHI-01,SCOPE,opus,claude-opus-4-7,ok,"Stem includes an explicit distress marker ('real disappointment or regret') tied to unused consumables, distinguishing it from universal engaged play.",,,4.55,0.100144
GHI-01,LANGUAGE,sonnet,claude-sonnet-4-6,ok,"The stem uses only lay terms—disappointment, regret—as reported consequences, not clinical-disorder labels attached to the behavior.",,,4.1,0.013862
GHI-01,LANGUAGE,haiku,claude-haiku-4-5,ok,"Item frames disappointment as emotional consequence of behavior, not diagnostic label; lacks clinical-disorder vocabulary.",,,11.82,0.010444
GHI-01,OVERPATHOLOGIZING,sonnet,claude-sonnet-4-6,ok,"The item targets post-game regret and disappointment as the symptom, not the rational saving behavior itself.",,,2.87,0.013892
GHI-01,LANGUAGE,opus,claude-opus-4-7,ok,"Stem reports disappointment/regret as consequences of behavior without invoking clinical labels like addiction, compulsion, or obsession.",,,11.6,0.100144
GHI-01,OVERPATHOLOGIZING,opus,claude-opus-4-7,ok,"Stem centers explicit distress (disappointment/regret) about unused consumables, making the symptom-like affect the subject rather than pathologizing rational saving.",,,4.13,0.101494
GHI-01,SCOPE,haiku,claude-haiku-4-5,ok,Explicit distress marker (disappointment/regret) not universal among engaged players; satisfies criterion protection.,,,26.55,0.019929
GHI-02,SCOPE,opus,claude-opus-4-7,ok,"Stem includes distress marker ('lost something valuable') and escalation qualifier ('even when strategically sound'), distinguishing it from normal engaged play.",,,3.43,0.013676
GHI-02,SCOPE,haiku,claude-haiku-4-5,ok,Includes explicit distress marker and 'even when strategically sound'—the exact criterion example—distinguishing pathological from normal play.,,,14.48,0.012799
GHI-01,OVERPATHOLOGIZING,haiku,claude-haiku-4-5,ok,Explicitly measures distress (disappointment) as the subject; does not label sensible resource-conservation as inherently pathological.,,,24.28,0.015887
