pmid,title,authors,year,journal,abstract,domains
41893868,Electroconvulsive Therapy and the Longitudinal Modulation of Sleep Architecture.,Kafashan Mohammad Mehdi et al.,2026,The journal of ECT,"Sleep plays a critical role in mood regulation, yet the mechanisms linking sleep to mood improvement remain unclear. Electroencephalographic (EEG) slow-wave activity (SWA) during non-rapid eye movement (NREM) sleep is reduced in patients with major depressive disorder. Here, we examined sleep architecture in patients with depression undergoing electroconvulsive therapy (ECT). Sleep EEG data were collected using wireless Dreem devices before and after each ECT session serially throughout the ECT course. Sleep stages were manually scored into rapid eye movement (REM) and NREM stages (N1-N3) according to modified American Academy of Sleep Medicine guidelines. Depression severity was assessed using the 16-Item Quick Inventory of Depressive Symptomatology-Self Report (QIDS). SWA was quantified as the average 0.5-4 Hz frontal EEG power per minute during N2 and N3 sleep. Across 214 sleep records from 22 subjects (median 9 per patient), the percentage of time in N3 sleep increased over the course of therapy in the responders' group (P=0.030). SWA increased throughout the ECT course across all participants (P=0.001), and it was negatively correlated with the QIDS score (P<0.001). Mediation analysis revealed that SWA mediated the effect of treatment on QIDS only in the responders' group (P=0.037). Our findings demonstrate that ECT increases N3 sleep and SWA in the responders' group, with SWA changes mediating improvements in depressive symptoms. These findings highlight SWA as a biomarker of antidepressant response and a potential target for sleep-based strategies to augment brain stimulation therapies for depression.",D4: Inventory / virtual possession
41893608,Physiological and Perceptual Internal Load During Kitesurfing Under Real-World Sea Conditions.,Mancini Nicola et al.,2026,"Sports (Basel, Switzerland)","Background: Kitesurfing is a wind-propelled water sport performed in highly variable environmental conditions. Scientific evidence describing internal load under standardized ecological sea constraints remains limited. Aim: This study aimed to characterize cardiovascular and perceptual responses during a standardized kitesurfing session and to examine associations among heart rate-based internal load indices, session rating of perceived exertion, and global navigation satellite system-derived external output variables. Methods: A total of 112 male recreational kitesurfers (32.1 ± 6.8 years) completed a 40-50 min standardized session under monitored wind conditions (17-22 knots) along a predefined approximately 800 m course. Heart rate was continuously recorded, and session rating of perceived exertion (Borg Category-Ratio 10 scale) was collected 30 ± 5 min post-session. Training impulse, mean percentage of maximal heart rate, and session rating of perceived exertion load were calculated. Pearson correlation analyses with bootstrapping (1000 resamples) and five percent trimming were performed, with statistical significance set at 0.05. Results: Sessions were performed at 78.4 ± 9.1 percent of maximal heart rate. Training impulse and mean percentage of maximal heart rate were strongly associated (correlation coefficient = 0.90, probability value < 0.001), reflecting the shared heart rate-based structure of these metrics. Training impulse showed a moderate association with session rating of perceived exertion load (correlation coefficient = 0.46, probability value < 0.001). No significant associations were observed between internal load indices and global navigation satellite system-derived mean speed (correlation coefficient = -0.14, probability value = 0.149) or distance (correlation coefficient = 0.06, probability value = 0.555). Sensitivity analyses confirmed the stability of the observed associations. Conclusions: Under standardized ecological sea conditions, kitesurfing sessions were characterized by sustained high submaximal cardiovascular intensity. Heart rate-based and perceptual measures showed consistent associations within this protocol, whereas global navigation satellite system-derived external outputs were not significantly related to internal load indices. Within the limits of this cross-sectional ecological design, the combined use of one heart rate-based indicator and session rating of perceived exertion offers a coherent and practically interpretable description of session internal load in open-water kitesurfing.",D3: Gacha / Loot box
41893360,Sex-Driven Variation in Polar Metabolites and Lipid Motifs of Paracentrotus lividus Gonads Profiled by 1H NMR.,Ibanco-Cañete Ricardo et al.,2026,Metabolites,"Sea urchin gonads (""roe"") are a valuable seafood product and a chemically complex matrix whose composition varies with physiology and environment. We present a biphasic extraction and 1H NMR workflow to build a reusable reference inventory of polar metabolites and apolar lipid features in Paracentrotus lividus. Gonads from 37 adults (23 males, 14 females) collected at two sites (Alicante and Jávea-Dénia, Spain; October 2024) were lyophilized, extracted with methanol/chloroform/water, and analyzed by 400 MHz 1H NMR in buffered aqueous solution (polar) and CDCl3 (apolar). Polar metabolite identification combined 1D patterns with database matching and 1H-13C HSQC confirmation on representative samples, yielding 71 annotated resonances corresponding to 37 metabolites spanning amino acids, osmolytes/quaternary amines, carbohydrates/aminosugars, and nucleoside/purine-related compounds. Polar fingerprints enabled supervised modelling: PLS-LDA separated sexes with low cross-validated error, and SPA/COSS ranking highlighted glycine, alanine, creatine and osmolyte-associated signals as key discriminants; pathway mapping supported the enrichment of amino-acid and one-carbon/purine networks. Apolar spectra were annotated at the motif level and used for lipid-index estimation, indicating substantial unsaturation but low docosahexaenoic acid (DHA) and modest sex effects. The curated peak lists and reporting framework facilitate reproducible NMR annotation and future comparative studies of P. lividus gonads.",D4: Inventory / virtual possession
41892640,Optic Flow Simulating Self-Motion Does Not Modulate the Hoffmann Reflex in the Soleus During Upright Standing in Healthy Young Adults.,Barbanchon Christophe et al.,2026,Brain sciences,"Background/Objectives: Visual motion is a powerful contributor to postural control, yet its influence on modulation of the Ia afferent pathway remains to be confirmed. This study investigated whether optic-flow simulating self-motion modulates the soleus Hoffmann (H) reflex recorded in the soleus during upright stance in immersive virtual reality. Methods: Fourteen healthy adults completed two experimental sessions, each comprising four visual conditions of increasing optic-flow complexity. In one session, participants stood freely on a force platform (free standing) whereas in the other, postural sways were restricted (supported standing). Surface EMG, posterior tibial nerve stimulation, and force-platform recordings were collected. Results: During free standing, optic flow substantially increased postural sway [F(3,13) = 15.7, p < 0.001, η2 = 0.55], with higher sway in all optic-flow conditions (~13 mm/s) compared with static viewing (~10 mm/s). In contrast, soleus H-reflex amplitude was not modulated by optic flow [F(3,13) = 0.2, p = 0.57], remaining stable across conditions (~44% Mmax). Background EMG and CoP position preceding stimulation were similar across conditions. In supported standing, used to isolate the effect of optic flow independently to postural control, H-reflex amplitude again showed no condition effect [F(3,13) = 0.2, p = 0.86]. Conclusions: These findings indicate that postural perturbation induced by optic flow was not accompanied by a modulation of the Ia afferent-motoneuron transmission of the soleus under the used experimental conditions. The results suggest that postural control under virtual optic flow is mediated predominantly by supraspinal sensory-integration mechanisms, rather than by modulation of the Ia-monosynaptic reflex pathway.",
41892381,"Fostering In-Service Teachers' Motivation, Professional Competence, and Implementation of Physically Active Learning via Example-Based, Experience-Based, or Problem-Solving Professional Development Formats.",Klimpki Tjari et al.,2026,"European journal of investigation in health, psychology and education","Physically Active Learning (PAL) integrates physical activity into classroom teaching and has been shown to benefit students' cognitive, social, and academic outcomes. Despite these advantages, PAL is not yet sustainably implemented in everyday school practice, highlighting the need for effective professional development (PD) formats for teachers. This randomized controlled experimental study examined how different PD formats, varying in their mode of engagement with ready-to-use PAL materials, affect teachers' motivation, professional competence, and implementation of PAL. A total of 153 in-service primary teachers participated in a 2.5 h PD training and were randomly assigned to one of three formats: example-based learning, experience-based learning, or problem-solving. Data were collected at pre-test, post-test, and a six-week follow-up using standardized questionnaires. Results showed that teachers in the experience-based format reported significantly higher motivation during the PD training than those in the other formats. Across all formats, attitude and self-efficacy regarding PAL increased over time, whereas no significant gains in knowledge were observed. No significant differences between PD formats regarding overall implementation of PAL were observed. Exploratory analyses indicated a potential advantage of the experience-based format. Overall, the findings suggest that immersive, experience-based PD formats may be particularly effective in fostering teachers' motivation.",
41891363,"Forced resilience: Indigenous perspectives on systemic barriers and humanizing genomic medicine in British Columbia, Canada.",Ehman Morgan et al.,2026,Genetics in medicine : official journal of the American College of Medical Genetics,"Genome sequencing (GS) expedites rare disease diagnosis, yet its benefits remain inequitably distributed. Systemic healthcare barriers compound genomic underrepresentation to prolong Indigenous children's diagnostic odysseys. We explored Indigenous families' views on accessing and implementing GS as a clinical diagnostic service to inform equitable service design. Together with an Indigenous Advisory Council (IAC), we used a talking circle approach to conduct virtual semi-structured focus groups with urban-living Indigenous adults in British Columbia, Canada. We performed deductive and inductive thematic analysis to create themes collaboratively with our IAC. We returned preliminary interpretations for participants' review and feedback through member checking surveys. Twenty-four individuals participated across five focus groups and one interview. Participants highlighted resilience as imposed, detrimental, and normalized within healthcare. They identified a lack of accessible and safe care, the normalization of self-advocacy, and experiences of racism as impeding families' willingness to pursue and benefit from GS. Participants recommended humanizing practices grounded in respectful relations, advocacy support, cultural safety, and Indigenous perspectives on health and wellness. Improving genomic medicine for Indigenous children and families demands more than biomedical advances. Equitable implementation requires collective action to transform healthcare systems and policies that perpetuate forced resilience.",
41890938,Adverse childhood experiences and personality traits associate with excessive fatigue in Norwegian nurses.,Hiestand Stand et al.,2026,Frontiers in psychology,"Nurse fatigue may cause medical errors, absence and turnover. Prior research has largely emphasized modifiable factors like work schedules. This focus may overlook non‑modifiable individual factors that also meaningfully contribute to fatigue risk. This study therefore aimed to investigate the relationship between potentially non-modifiable factors and excessive fatigue in nurses. This longitudinal cohort study investigated adverse childhood experiences and personality traits in relation to excessive fatigue in nurses. Adverse childhood experiences were assessed with four questions previously used in the Norwegian context. Personality traits included the Big Five traits (Mini-IPIP), morningness-eveningness (Horne and Östberg Morningness-Eveningness Questionnaire reduced scale), circadian type (flexibility and languidity, Circadian Type Inventory), and workaholism (Bergen Work Addiction Scale). Questionnaire data was collected at various time points from an ongoing cohort study known as the Survey of Shift work, Sleep, and Health (REK VEST, no. 088.88). Fatigue was assessed using the Chalder Fatigue Questionnaire and excessive fatigue was considered as scores of ≥4. The study sample included 741 non-pregnant Norwegian nurses. Logistic regression analyses were used to investigate associations between adverse childhood experiences, personality traits, and excessive fatigue. Nurses who lacked a trusted adult in childhood (adjusted odds ratios (aOR) = 4.68, 95% CI = 1.97-11.11), reported bad memories (aOR = 4.94, CI = 2.70-9.03), or perceived their childhood as difficult (aOR = 4.53, CI = 2.40-8.57) had >4x the odds of excessive fatigue. High neuroticism (aOR = 2.37, CI = 1.56-3.59), low conscientiousness (aOR = 2.02, CI = 1.30-3.12), and high languidity (aOR = 5.01 CI = 2.98-8.39) increased odds of excessive fatigue. Morning types had lower (aOR = 0.65 CI = 0.45-0.93), while evening types had higher odds (aOR = 1.55 CI = 1.02-2.34) of excessive fatigue compared to intermediate types. Lastly, workaholism increased odds of excessive fatigue (aOR = 2.70 CI = 1.21-6.04). In past literature, nurse fatigue has been studied in the context of pain, (shift)work, mental-health and other modifiable factors. This study indicates factors that are less modifiable and potentially difficult to address within the working environment, including adverse childhood experiences and personality traits, may nonetheless play important roles in excessive fatigue in nurses.",D4: Inventory / virtual possession
41890388,What Do They Perceive About Telemedicine Services? Patient and Doctor's Experience from a Low-cost Telemedicine Service in India During the COVID Pandemic.,Pillai Jawahar Sk et al.,2026,Journal of pharmacy & bioallied sciences,"Telemedicine, though it existed in India over the last few decades, took great strides during the COVID-19 pandemic, which was partly due to the nationwide lockdown, and beneficiaries and healthcare providers were ready to use telemedicine. The primary objective of this study is to highlight the perceptions of patients and doctors on telemedicine services. A total of 203 patients and 23 doctors who used telemedicine services participated in six months from April 2020. This study was developed with two sets of pretested questionnaires for patients and doctors on their experiences with telemedicine. The patient's group had 16 and the doctor's group had nine questions in five-point Likert scale formats. Data were collected and analyzed using simple statistical tools in MS Excel. Waiting time for consultation was half an hour to two hours. The consultation duration was less than 20 minutes in 90% of cases. More than 50% of patients were satisfied, and 36% were unsatisfied. A high positive correlation found in audio quality (r = 0.71) and overall satisfaction (r = 0.84), moderate positive correlation found in video quality (r = 0.63). However, a very negligible correlation between the two groups was found in ease of connectivity (r = 0.006). The study concluded that the acceptability of telemedicine is good both by doctors and patients. With the solution of legal clearance and data privacy concerns, telemedicine will be one of the prime modes of delivering healthcare services in the future.",
41889439,"New ant records from La Réunion Island (Hymenoptera, Formicidae).",Carval Dominique et al.,2026,Biodiversity data journal,"La Réunion Island (Mascarene Archipelago, south-western Indian Ocean) hosts a largely introduced ant fauna, shaped by historical and ongoing human-mediated introductions. Despite previous inventories, the ant fauna of the Island remains incompletely documented and updated faunistic records are needed to refine species checklists and improve knowledge of regional biodiversity. Documenting new occurrences contributes to a better understanding of species distributions, biogeographic patterns and invasion dynamics on oceanic islands, which are particularly vulnerable to biological invasions. Following recent fieldwork, we report eight new species for La Réunion Island: Brachymymex australis Forel, 1901; Cardiocondyla obscurior Wheeler, 1929; Monomorium exiguum Forel, 1894; Pheidole parva Mayr, 1865; Solenopsis globularia Smith, 1858; Solenopsis gr. pygmaea, Stigmatomma cf. zwaluwenburgi Williams, 1946; and Strumigenys membranifera Emery, 1869. All are introduced species with varying invasiveness status. This work brings the total number of ants known from La Réunion Island to 62, although the presence and identification of some species cited in literature and databases needs verification. Further collections may uncover additional introduced species in urbanised and anthropogenised habitats and native species specific to La Réunion Island or the Mascarene Islands in natural ecosystems.",D5: Completionism
41889193,The Association Between Drug Craving and Suicidal Thoughts and Behavior in Chinese Male Methamphetamine Inpatients: The Mediating Effect of Depressive Symptoms.,Zhang Xinyue et al.,2026,Substance use & misuse,"Suicidal thoughts and behavior (STBs) are prevalent in patients with methamphetamine use disorder (MAUD). The present study aimed to examine the relationship between drug craving and STBs among Chinese MAUD inpatients, specifically focusing on the potential mediating role of depressive symptoms. After quality control, 538 inpatients with MAUD were included in the study. Inpatients were recruited from a drug rehabilitation center. Data were collected using the Desires for Drug Questionnaire (DDQ), the Beck Depression Inventory (BDI), and the STBs question. Among MAUD inpatients, 7.6% exhibited STBs. Compared to those without STBs, patients with STBs had higher depressive symptoms scores, higher DDQ-negative reinforcement scores, and higher total DDQ scores. Significant positive associations were found among DDQ scores, depressive symptoms, and STBs. Mediation analysis indicated that the mediation effect of depressive symptoms was significant (mediation effect: 26%). Depressive symptoms serve as a mediator in the relationship between drug craving and STBs in MAUD inpatients. These findings highlight the necessity of incorporating depressive symptoms screening and intervention into addiction treatment which may be related to a lower prevalence of suicide risk.",D4: Inventory / virtual possession
