openalex_id,title,dedup_reason,match_pmid
W3126126759,Deal or No Deal? Decision Making under Risk in a Large-Payoff Game Show,novel,
W1997517742,Searching for the sunk cost fallacy,novel,
W2144867725,Signaling Foreign Policy Interests,novel,
W2811319480,Predatory monetization schemes in video games (e.g. ‘loot boxes’) and internet gaming disorder,pmid_match,29952052
W2165185488,"Individual differences in motives, preferences, and pathology in video games: the gaming attitudes, motives, and experie",novel,
W2962510585,Unfair play? Video games as exploitative monetized services: An examination of game patents from a consumer protection p,novel,
W2113525887,Social framing effects: Preferences or beliefs?,novel,
W1975555673,An empirical model of firm entry with endogenous product-type choices,novel,
W2592577925,Prospect theory for enhanced cyber-physical security of drone delivery systems: A network interdiction game,novel,
W2006954354,Impact of loss aversion on the newsvendor game with product substitution,novel,
W2884830853,Exploiting a cognitive bias promotes cooperation in social dilemma experiments,novel,
W2611029478,Sensation Seeking and Online Gaming Addiction in Adolescents: A Moderated Mediation Model of Positive Affective Associat,novel,
W161555447,Framework for Designing and Evaluating Game Achievements,novel,
W2170714771,Analogy-based expectation equilibrium,novel,
W2113043717,Operations Research: Applications and Algorithms,novel,
W2028987454,The effects of externalities and framing on bribery in a petty corruption experiment,novel,
W2054870039,Managing global megaprojects: Complexity and risk management,novel,
W1986765024,A Meta-analysis of Loss Aversion in Product Choice,novel,
W3183566438,Economic model of microtransactions in video games,novel,
W2163301974,Seeing is believing: Trustworthiness as a dynamic belief,novel,
W2957010394,"Paying for loot boxes is linked to problem gambling, regardless of specific features like cash-out and pay-to-win",novel,
W4322766660,Energy structure transformation in the context of carbon neutralization: Evolutionary game analysis based on inclusive d,novel,
W2953113430,Playing a video game is more than mere procrastination,novel,
W2789689524,Prospect Theory-Based Active Consumer Behavior Under Variable Electricity Pricing,novel,
W3036791764,Unearthing antecedents to financial inclusion through FinTech innovations,novel,
W3132951841,Internet Gaming Disorder in adolescence: investigating profiles and associated risk factors,novel,
W2125674100,THE AMBIGUITY AVERSION LITERATURE: A CRITICAL ASSESSMENT,novel,
W1848653928,Social Norms and Social Roles,novel,
W3024840598,Pandemics and Supply Chain Management Research: Toward a Theoretical Toolbox<sup>*</sup>,novel,
W1972392173,Export Subsidies and International Market Share Rivalry,novel,
W2280878898,Load Shifting in the Smart Grid: To Participate or Not?,novel,
W2562279243,Beliefs about Gender,novel,
W4289260299,Developing Serious Video Games to Treat Attention Deficit Hyperactivity Disorder: Tutorial Guide,novel,
W3119851790,Prospect theory in an evolutionary game: Construction of watershed ecological compensation system in Taihu Lake Basin,novel,
W2134808240,The evolution of private property,novel,
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Exa,novel,
W2004796108,Affective decision making: A theory of optimism bias,novel,
W4318761566,Gaming disorder: A summary of its characteristics and aetiology,novel,
W2125314132,Prospect Theory and the Cuban Missile Crisis,novel,
W2058134656,The loss-averse newsvendor game,novel,
W2018696312,"Bi-capacities—I: definition, Möbius transform and interaction",novel,
W2761819867,Elements of Gameful Design Emerging from User Preferences,novel,
W3124127077,Sunk Cost as a Self-Management Device,novel,
W1996957852,The Social Cost of Cheap Pseudonyms,novel,
W2789266794,Attacker-Centric View of a Detection Game against Advanced Persistent Threats,novel,
W2150334392,Strategic Power in the European Union,novel,
W2776055286,User-Centric View of Unmanned Aerial Vehicle Transmission Against Smart Attacks,novel,
W2142358731,Deal or No Deal? Decision Making under Risk in a Large-Payoff Game Show,novel,
W2065067102,Prospect Theoretic Analysis of Energy Exchange Among Microgrids,novel,
W2935160902,"Loot box limit‐setting is not sufficient on its own to prevent players from overspending: a reply to Drummond, Sauer &am",pmid_match,30955212
W211005570,"Justice, Institutions, and Multiple Equilibria",novel,
W4324140769,Overviewing Gaming Motivation and Its Associated Psychological and Sociodemographic Variables: A PRISMA Systematic Revie,novel,
W1849401977,Player Types: A Meta-synthesis,novel,
W4289780904,Profiling the Potential Risks and Benefits of Emerging “Play to Earn” Games: a Qualitative Analysis of Players’ Experien,novel,
W3001697120,Reduced loss aversion and inhibitory control in adolescents with internet gaming disorder.,pmid_match,31971427
W4285820523,Price and Risk Awareness for Data Offloading Decision-Making in Edge Computing Systems,novel,
W2582259743,Cloud Storage Defense Against Advanced Persistent Threats: A Prospect Theoretic Study,novel,
W1978560443,Modeling the Psychology of Consumer and Firm Behavior with Behavioral Economics,novel,
W1986453124,Acute Stress Increases Sex Differences in Risk Seeking in the Balloon Analogue Risk Task,novel,
W2136871988,Modeling Adversaries in Counterterrorism Decisions Using Prospect Theory,novel,
W2021747705,Alternating offers bargaining with loss aversion,novel,
W2616877725,"PERCEIVED GAME UNCERTAINTY, SUSPENSE AND THE DEMAND FOR SPORT",novel,
W2153987094,The logic of indirect speech,novel,
W2128062934,Tracking Costs of Time and Money: How Accounting Periods Affect Mental Accounting,novel,
W2101954211,Consequences of Regret Aversion 2: Additional Evidence for Effects of Feedback on Decision Making,novel,
W2094541112,"Patent competition, rent dissipation, and the persistence of monopoly: The role of research budgets",novel,
W2946905971,Bi-capacities—II: the Choquet integral,novel,
W2883481319,Analysis of the Evolution Game of Construction and Demolition Waste Recycling Behavior Based on Prospect Theory under En,novel,
W2169871438,Individual differences in decision making: Drive and Reward Responsiveness affect strategic bargaining in economic games,novel,
W2566800475,Prospect theory for prosumer-centric energy trading in the smart grid,novel,
W2095287554,Framing effects in public goods: Prospect Theory and experimental evidence,novel,
W92685995,Wiley encyclopedia of operations research and management science,novel,
W3019721760,Risk-Aware Data Offloading in Multi-Server Multi-Access Edge Computing Environment,novel,
W3108619939,Evolutionary Game of Government Subsidy Strategy for Prefabricated Buildings Based on Prospect Theory,novel,
