PMID,Title,Year,Journal,Domain(s),Relevance_Score,Screening_Decision,Reason
38890438,The associations between autistic characteristics and microtransaction spending.,2024,Scientific reports,D3,8,Include,Loot box/gacha research with game connection
37594878,"The potential relationship between loot box spending, problem gambling, and obsessive-compulsive gamers.",2023,Journal of behavioral addictions,D3; Cross-domain,9,Include,Loot box/gacha research with game connection
39264722,Internet gaming disorder and risky behaviours among Czech adolescents: A nationally representative study.,2024,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
32379808,"The changing face of desktop video game monetisation: An exploration of exposure to loot boxes, pay to win, and cosmetic microtransactions in the most-played Steam games of 2010-2019.",2020,PloS one,D3,8,Include,Loot box/gacha research with game connection
40161348,Psychometric evaluation of the Chinese version of Risky Loot Box Index (RLI) and cross-sectional investigation among gamers of China.,2025,PeerJ,D3; D4,8,Include,Loot box/gacha research with game connection
31129456,The relationship of loot box purchases to problem video gaming and problem gambling.,2019,Addictive behaviors,D3; D4,8,Include,Loot box/gacha research with game connection
33560241,Adolescent Problem Gaming and Loot Box Purchasing in Video Games: Cross-sectional Observational Study Using Population-Based Cohort Data.,2021,JMIR serious games,D3; D4,8,Include,Loot box/gacha research with game connection
34413815,Psychosocial Adjustment and Mental Distress Associated With In-Game Purchases Among Japanese Junior High School Students.,2021,Frontiers in psychology,D3,8,Include,Loot box/gacha research with game connection
32822251,"Risk Factors of Problem Gaming and Gambling in US Emerging Adult Non-Students: The Role of Loot Boxes, Microtransactions, and Risk-Taking.",2020,Issues in mental health nursing,D3,8,Include,Loot box/gacha research with game connection
31881408,Loot box engagement and problem gambling among adolescent gamers: Findings from a national survey.,2020,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
35085370,Loot box engagement: A scoping review of primary studies on prevalence and association with problematic gaming and gambling.,2022,PloS one,D3,8,Include,Loot box/gacha research with game connection
32106893,A descriptive survey of online gaming characteristics and gaming disorder in Ireland.,2023,Irish journal of psychological medicine,D3,7,Include,Microtransaction/in-game spending research
31978759,Fortnite microtransaction spending was associated with peers' purchasing behaviors but not gaming disorder symptoms.,2020,Addictive behaviors,D3,9,Include,Loot box/gacha research with game connection
38603322,Playing remotely: The COVID-19 pandemic and mobile locative gaming in Northeast Brazil.,2023,Mobile media & communication,D3,7,Include,Microtransaction/in-game spending research
38148441,Normalization of Chance-Based Mechanisms in Mobile Games for Children: A Descriptive Analysis.,2024,Journal of gambling studies,D3,8,Include,Loot box/gacha research with game connection
35058842,Character Customization With Cosmetic Microtransactions in Games: Subjective Experience and Objective Performance.,2021,Frontiers in psychology,D3; D4,8,Include,Virtual item ownership / psychological ownership in games
41140132,Gaming's hidden gamble: are we betting more than we realise?,2025,Irish journal of psychological medicine,D3,8,Include,Loot box/gacha research with game connection
36274342,Not all games are created equal: Adolescents who play and spend money on simulated gambling games show greater risk for gaming disorder.,2023,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
39302638,The Mediating Role of Problematic Use of Loot Boxes Between Internet Gaming Disorder and Online Gambling Disorder: Cross-Sectional Analytical Study.,2024,JMIR serious games,D3,8,Include,Loot box/gacha research with game connection
35990074,"Prediction of problem gambling by demographics, gaming behavior and psychological correlates among gacha gamers: A cross-sectional online survey in Chinese young adults.",2022,Frontiers in psychiatry,D3,8,Include,Loot box/gacha research with game connection
36497782,"Spending Money in Free-to-Play Games: Sociodemographic Characteristics, Motives, Impulsivity and Internet Gaming Disorder Specificities.",2022,International journal of environmental research and public health,D3,7,Include,Microtransaction/in-game spending research
37151299,Loot box consumption by adolescents pre- and post- pandemic lockdown.,2023,PeerJ,D3; D4,8,Include,Loot box/gacha research with game connection
35733406,Sex Differences in Competitiveness in Massively Multiplayer Online Role-Playing Games (MMORPGs).,2022,Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior,D3,7,Include,Microtransaction/in-game spending research
32514653,Loot Boxes and Gambling: Similarities and Dissimilarities in Risk and Protective Factors.,2021,Journal of gambling studies,D3; D4,8,Include,Loot box/gacha research with game connection
41842938,Entrapment in games: Reframing persistence in the I-PACE framework.,2026,Journal of behavioral addictions,D1; D3,8,Include,Loot box/gacha research with game connection
40211461,Gay for Play: Homocapitalism in the Video Gaming Industry.,2026,Journal of homosexuality,D3,7,Include,Microtransaction/in-game spending research
33578105,"Secondary analysis of loot box data: Are high-spending ""whales"" wealthy gamers or problem gamblers?",2021,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
40307922,"A longitudinal replication study testing migration from video game loot boxes to gambling in British Columbia, Canada.",2025,BMC psychology,D3,8,Include,Loot box/gacha research with game connection
31681510,Problem gamblers spend less money when loot boxes are removed from a game: a before and after study of Heroes of the Storm.,2019,PeerJ,D3,8,Include,Loot box/gacha research with game connection
38126068,"Exploring the relationships between psychological variables and loot box engagement, part 1: pre-registered hypotheses.",2023,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
38557083,Measuring risky loot box use: An item response theory analysis of the Risky Loot Box Index among adolescents.,2024,Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,D3; D4,8,Include,Loot box/gacha research with game connection
32306232,The Role of Virtual Communities in Gambling and Gaming Behaviors: A Systematic Review.,2021,Journal of gambling studies,D3,7,Include,Microtransaction/in-game spending research
33604174,Effects of self-isolation and quarantine on loot box spending and excessive gaming-results of a natural experiment.,2021,PeerJ,D3,8,Include,Loot box/gacha research with game connection
37729858,"Loot boxes, gambling-related risk factors, and mental health in Mainland China: A large-scale survey.",2024,Addictive behaviors,D3,8,Include,Loot box/gacha research with game connection
40945152,Better than industry self-regulation: Compliance of mobile games with newly adopted and actively enforced loot box probability disclosure law in South Korea.,2025,Acta psychologica,D3,8,Include,Loot box/gacha research with game connection
33886033,Brief Report: Investigating the Motivations and Autistic Traits of Video Gamers.,2022,Journal of autism and developmental disorders,D5: Completionism,0,Exclude,General gaming well-being study (no collecting/hoarding angle)
35129238,"Loot box engagement: relationships with educational attainment, employment status and earnings in a cohort of 16 000 United Kingdom gamers.",2022,"Addiction (Abingdon, England)",D3,8,Include,Loot box/gacha research with game connection
31030176,"Associations between loot box use, problematic gaming and gambling, and gambling-related cognitions.",2019,Addictive behaviors,D3; D4,8,Include,Loot box/gacha research with game connection
38179078,"Exploring the relationships between psychological variables and loot box engagement, part 2: exploratory analyses of complex relationships.",2024,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
39607381,"Are Today's Gamers Tomorrow's Gamblers? The Relationship Between Problem Gaming and Online Problem Gambling, and the Indirect Effect of Purchasing Loot Boxes' Risk.",2025,"Cyberpsychology, behavior and social networking",D3,8,Include,Loot box/gacha research with game connection
34882238,Loot boxes use as a new form of gambling within video games.,2023,Adicciones,D3,8,Include,Loot box/gacha research with game connection
36998766,"Beneath the label: unsatisfactory compliance with ESRB, PEGI and IARC industry self-regulation requiring loot box presence warning labels by video game companies.",2023,Royal Society open science,D3,8,Include,Loot box/gacha research with game connection
34945245,Development and Validation of the RAFFLE: A Measure of Reasons and Facilitators for Loot Box Engagement.,2021,Journal of clinical medicine,D3,8,Include,Loot box/gacha research with game connection
33012944,The gamification of in-game advertising: Examining the role of psychological ownership and advertisement intrusiveness.,2021,International journal of information management,D4,8,Include,Virtual item ownership / psychological ownership in games
