tier,heuristic_verdict,llm_verdict,count
haiku,Include,Include,60
haiku,Include,Maybe,10
haiku,Include,Exclude,31
haiku,Maybe,Include,1
haiku,Maybe,Maybe,7
haiku,Maybe,Exclude,45
haiku,Exclude,Include,0
haiku,Exclude,Maybe,1
haiku,Exclude,Exclude,70
opus,Include,Include,61
opus,Include,Maybe,27
opus,Include,Exclude,14
opus,Maybe,Include,1
opus,Maybe,Maybe,8
opus,Maybe,Exclude,45
opus,Exclude,Include,1
opus,Exclude,Maybe,3
opus,Exclude,Exclude,67
sonnet,Include,Include,52
sonnet,Include,Maybe,23
sonnet,Include,Exclude,27
sonnet,Maybe,Include,1
sonnet,Maybe,Maybe,7
sonnet,Maybe,Exclude,46
sonnet,Exclude,Include,0
sonnet,Exclude,Maybe,1
sonnet,Exclude,Exclude,70
