openalex_id,title,dedup_reason,match_pmid
W2148295952,The Impact of Video Games on Training Surgeons in the 21st Century,novel,
W2121005211,Economics and Identity*,novel,
W2521233320,The Development and Validation of the Game User Experience Satisfaction Scale (GUESS),novel,
W2008497948,"The Trojan Player Typology: A cross-genre, cross-cultural, behaviorally validated scale of video game play motivations",novel,
W4319083882,ChatGPT: five priorities for research,novel,
W1995934468,The cognitive psychology of Internet gaming disorder,novel,
W3163823280,Don’t You Know That You’re Toxic: Normalization of Toxicity in Online Gaming,novel,
W2019020079,Reduced attentional capture in action video game players,novel,
W4298289240,Generative Adversarial Networks,novel,
W2790477689,Does playing violent video games cause aggression? A longitudinal intervention study,novel,
W2107847937,"Video Game Addiction: Past, Present and Future",novel,
W2110049365,Online gaming addiction in children and adolescents: A review of empirical research,novel,
W2147489905,Gamifying learning experiences: Practical implications and outcomes,novel,
W2121860971,Virtual reality for stroke rehabilitation,novel,
W2003924641,The Mediating Effect of Gaming Motivation Between Psychiatric Symptoms and Problematic Online Gaming: An Online Survey,novel,
W1986493181,Real-Time Strategy Game Training: Emergence of a Cognitive Flexibility Trait,novel,
W2122519738,The effect of interactivity with a music video game on second language vocabulary recall,novel,
W2144373764,"Family Structure, Parental Practices and High School Completion",novel,
W3008161459,Commercial video games and cognitive functions: video game genres and modulating factors of cognitive enhancement,novel,
W1996281555,Why Are Adolescents Addicted to Online Gaming? An Interview Study in Taiwan,novel,
W2001935231,"Video Games as a Means to Reduce Age-Related Cognitive Decline: Attitudes, Compliance, and Effectiveness",novel,
W1243396124,The need to achieve: Players' perceptions and uses of extrinsic meta-game reward systems for video game consoles,novel,
W2045823138,Arsenic speciation in the environment,novel,
W2030510524,Couch potatoes to jumping beans: A pilot study of the effect of active video games on physical activity in children,novel,
W2079476777,Measuring and defining the experience of immersion in games,novel,
W2251512949,ReferItGame: Referring to Objects in Photographs of Natural Scenes,novel,
W2781957004,"Effectiveness of a Binocular Video Game vs Placebo Video Game for Improving Visual Functions in Older Children, Teenager",novel,
W2078997954,An empirical study comparing gamification and social networking on e-learning,novel,
W2161811299,The Conceptualisation and Measurement of DSM-5 Internet Gaming Disorder: The Development of the IGD-20 Test,novel,
