openalex_id,tier,model,verdict,domains,reason,parse_error,latency_s,cost_usd
W1997517742,opus,claude-opus-4-7,Exclude,,"Economics experiment on sunk cost fallacy in a treasure-digging task; not about hoarding, loot boxes, inventory, completionism, or game loss aversion constructs.",,4.3,0.09795
W1997517742,sonnet,claude-sonnet-4-6,Maybe,D1,Laboratory game study on sunk cost fallacy; tangentially relevant to loss aversion in game contexts but no item/inventory hoarding.,,4.58,0.013439
W161555447,sonnet,claude-sonnet-4-6,Maybe,D5,Framework paper on achievement system design; empirical basis present but no psychological or behavioral hoarding measures examined.,,3.61,0.013281
W161555447,opus,claude-opus-4-7,Maybe,D5,Framework paper on achievement design; relevant to completionism domain but lacks behavioral/psychological measures of hoarding-related engagement.,,3.88,0.096712
W3183566438,sonnet,claude-sonnet-4-6,Exclude,,"Focuses on monetization economics without behavioral or psychological measures, matching exclusion criterion 5.",,3.21,0.013315
W3183566438,opus,claude-opus-4-7,Exclude,,Focuses on economic/business model of microtransactions without behavioral or psychological measures of hoarding-related constructs.,,3.35,0.096337
W3183566438,haiku,claude-haiku-4-5,Exclude,,Purely economic analysis of microtransaction business models; no behavioral or psychological measures.,,11.4,0.008865
W161555447,haiku,claude-haiku-4-5,Maybe,D5,Addresses D5 (achievement hunting) through empirical achievement system analysis; design focus requires full-text review for behavioral relevance.,,22.17,0.01512
W2125674100,sonnet,claude-sonnet-4-6,Exclude,,"Pure decision-theory critique of ambiguity aversion; no game context, virtual items, or behavioral gaming constructs.",,3.37,0.013667
W2125674100,opus,claude-opus-4-7,Exclude,,Theoretical economics critique of ambiguity aversion literature; no game context or hoarding-related behavioral measures.,,3.38,0.098738
W2125674100,haiku,claude-haiku-4-5,Exclude,,"Economic decision theory critique on Ellsberg paradox. No mention of games, virtual items, or game behavior.",,13.24,0.010115
W4318761566,sonnet,claude-sonnet-4-6,Exclude,,"Narrative review of gaming disorder aetiology without empirical data on hoarding, collecting, inventory, or loss-aversion constructs.",,4.16,0.013663
W4318761566,opus,claude-opus-4-7,Maybe,D3,Narrative review of gaming disorder discussing monetization techniques including loot boxes; requires full-text to confirm peer-reviewed empirical/systematic status and depth of loot-box coverage.,,3.75,0.100275
W3124127077,sonnet,claude-sonnet-4-6,Maybe,D1,Theoretical treatment of sunk cost effect may relate to loss aversion in games but lacks explicit game behavioral context.,,3.23,0.012974
W3124127077,opus,claude-opus-4-7,Exclude,,Theoretical paper on sunk cost as self-management device; no game context or hoarding-related behavior examined.,,4.47,0.093131
W1997517742,haiku,claude-haiku-4-5,Exclude,,Pure economics study of sunk costs; lacks digital game mechanics and hoarding behavior.,,43.99,0.028009
W2123944148,sonnet,claude-sonnet-4-6,Exclude,,"Economic duopoly pricing experiment with no game mechanic, virtual items, or gaming behavioral context.",,3.03,0.013326
W4318761566,haiku,claude-haiku-4-5,Exclude,,Narrative review rather than empirical study or systematic review; insufficient hoarding domain focus.,,27.43,0.020858
W2123944148,opus,claude-opus-4-7,Exclude,,Economics experiment on Bertrand-Edgeworth duopoly pricing; no digital game or hoarding-related behavior component.,,3.49,0.097162
W2123944148,haiku,claude-haiku-4-5,Exclude,,Economics pricing experiment without games or virtual items; unrelated to game-hoarding behaviors.,,11.73,0.009599
W148591480,sonnet,claude-sonnet-4-6,Exclude,,Industry practitioner interviews on F2P monetization economics; no behavioral or psychological measures of hoarding/collecting constructs.,,3.43,0.013596
W148591480,opus,claude-opus-4-7,Exclude,,Qualitative study of developer perspectives on free-to-play monetization ethics; no behavioral or psychological measures of player hoarding or collecting.,,3.45,0.098306
W3124127077,haiku,claude-haiku-4-5,Exclude,,"Behavioral economics study on sunk cost and intertemporal choice, not digital game hoarding.",,27.76,0.01912
W4236371823,sonnet,claude-sonnet-4-6,Exclude,,Book chapter (MIT Press eBook) is not peer-reviewed empirical research; it is a practitioner/design trade book without original data.,,3.24,0.014023
W4236371823,opus,claude-opus-4-7,Maybe,D1|D4,"Book on loss aversion and endowment effect in game design; not peer-reviewed empirical study, but directly addresses D1/D4 constructs.",,3.28,0.101475
W3125195420,sonnet,claude-sonnet-4-6,Exclude,,"Studies endowment effect for information in a business simulation, not game item retention or hoarding-related game behavior.",,3.16,0.013855
W3125195420,opus,claude-opus-4-7,Exclude,,"Endowment effect study on information trading in a business simulation, not a digital game with hoarding-relevant behaviors.",,3.38,0.099506
W148591480,haiku,claude-haiku-4-5,Exclude,,"Examines free-to-play revenue model ethics from professionals' perspective, not hoarding-related player behaviors.",,17.99,0.012971
W4236371823,haiku,claude-haiku-4-5,Exclude,,"Game design practitioner book, not peer-reviewed empirical study. Fails Inclusion Criterion 1.",,15.95,0.01122
W3013771817,opus,claude-opus-4-7,Exclude,,"Book by a game designer, not a peer-reviewed empirical study or systematic review; falls under practitioner literature excluded by criteria.",,4.8,0.102206
W3013771817,haiku,claude-haiku-4-5,Exclude,,Non-peer-reviewed practitioner design guide; lacks original empirical data.,,15.62,0.010548
W3013771817,sonnet,claude-sonnet-4-6,Exclude,,"Appears to be a practitioner game-design book with no original empirical data, fitting exclusion criteria 1 and 4.",,17.0,0.026485
W2905109362,sonnet,claude-sonnet-4-6,Exclude,,"Pure game-theory mathematics on fuzzy payoffs; no digital game behavior, hoarding, or psychological constructs studied.",,3.71,0.013727
W2905109362,haiku,claude-haiku-4-5,Exclude,,Pure mathematical game theory; no empirical data on digital games or hoarding behaviors.,,12.98,0.008886
