openalex_id,pmid,doi,title,abstract,year,journal,authors,type,cited_by_count,domain_query
W3126126759,,10.1257/aer.98.1.38,Deal or No Deal? Decision Making under Risk in a Large-Payoff Game Show,"We examine the risky choices of contestants in the popular TV game show ""Deal or No Deal"" and related classroom experiments. Contrary to the traditional view of expected utility theory, the choices can be explained in large part by previous outcomes experienced during the game. Risk aversion decreases after earlier expectations have been shattered by unfavorable outcomes or surpassed by favorable outcomes. Our results point to reference-dependent choice theories such as prospect theory, and suggest that path-dependence is relevant, even when the choice problems are simple and well defined, and when large real monetary amounts are at stake.",2008,EUR Research Repository (Erasmus University Rotterdam),Thierry Post; Martijn J. van den Assem; Guido Baltussen; Richard H. Thaler,article,504,D1
W1997517742,,10.1007/s10683-006-9134-0,Searching for the sunk cost fallacy,"Abstract We seek to isolate in the laboratory factors that encourage and discourage the sunk cost fallacy. Subjects play a computer game in which they decide whether to keep digging for treasure on an island or to sink a cost (which will turn out to be either high or low) to move to another island. The research hypothesis is that subjects will stay longer on islands that were more costly to find. Eleven treatment variables are considered, e.g. alternative visual displays, whether the treasure value of an island is shown on arrival or discovered by trial and error, and alternative parameters for sunk costs. The data reveal a surprisingly small sunk cost effect that is generally insensitive to the proposed psychological drivers.",2007,Experimental Economics,Daniel Friedman; Kai Pommerenke; Rajan M. Lukose; Garrett Milam; Bernardo A. Huberman,article,170,D1
W2144867725,,10.1177/0022002797041001004,Signaling Foreign Policy Interests,"The author distinguishes between two types of costly signals that state leaders might employ in trying to credibly communicate their foreign policy interests to other states, whether in the realm of grand strategy or crisis diplomacy. Leaders might either (a) tie hands by creating audience costs that they will suffer ex post if they do not follow through on their threat or commitment (i.e., costs arising from the actions of domestic political audiences) or (b) sink costs by taking actions such as mobilizing troops that are financially costly ex ante. Analysis of a game model depicting the essentials of each case yields two principal results. First, in the games' equilibria, leaders never bluff with either type of signal; they do not incur or create costs and then fail to respond if challenged. Second, leaders do better on average by tying hands, despite the fact that the ability to do so creates a greater ex ante risk of war than does the use of sunk-cost signals. These results and the logic behind them may help explain some empirical features of international signaling, such as many crises' appearance as competitions in creating domestic political audience costs. They also generate empirical puzzles, such as why the seemingly plausible logic of inference that undermines bluffing in the model does not operate in all empirical cases.",1997,Journal of Conflict Resolution,James D. Fearon,article,1109,D1
W2811319480,29952052,10.1111/add.14286,Predatory monetization schemes in video games (e.g. ‘loot boxes’) and internet gaming disorder,"Predatory monetization schemes in video games are purchasing systems that disguise or withhold the long-term cost of the activity until players are already financially and psychologically committed. Such schemes contribute to the increasing similarity of gaming and gambling and the potential for financial harm for those with Internet gaming disorder. Video gaming is a billion-dollar global industry which is continuously growing and evolving. An important innovation which has fuelled industry development has been the expansion of digital purchase options, including the emergence of virtual goods, that can be purchased from within the game in small payments termed ‘microtransactions’. In 2017, the game publisher Activision Blizzard reported that it had made more than $4 billion, or more than half its annual income, from microtransactions 1. Microtransactions enable players to obtain additional game content or premiums (e.g. virtual items, textures/skins, currency, levels or power-ups). These types of purchases are common in mobile game revenue models where the base game is ‘free-to-play’, but the player is encouraged to spend money to make unimpeded progress in the game (i.e. overcome a ‘paywall’). Game monetization schemes have become increasingly sophisticated and have been featured more prominently within popular on-line games. In our view, some of these schemes could be considered predatory. Predatory monetization schemes typically involve in-game purchasing systems that disguise or withhold the true long-term cost of the activity until players are already financially and psychologically committed. Such schemes are designed to encourage repeated player spending using tactics or elements that may involve, either singularly or in combination, limited disclosure of the product; intrusive and unavoidable solicitations; and systems that manipulate reward outcomes to reinforce purchasing behaviors over skillful or strategic play. Such strategies may exploit inequalities in information between purchaser and provider, such as when the industry uses knowledge of the player's game-related preferences, available funds and/or playing and spending habits, to present offers predetermined to maximize the likelihood of eliciting player spending. Some of the top-earning game publishers (e.g. Activision and Electronic Arts) have registered patents for microtransaction systems that incentivize the player to spend money 2, 3. Of particular relevance is the monetization scheme known as the ‘loot box’. A loot box refers to an in-game reward system that can be purchased repeatedly with real money to obtain a random selection of virtual items. The low probability of obtaining a desired item means that the player will have to purchase an indeterminate number of loot boxes to obtain the item. Loot boxes resemble gambling slot machines because they require no player skill and have a randomly determined outcome (i.e. prize). However, they do not meet some legal definitions of gambling because financial expenditure on loot boxes is not considered to be a financial ‘loss’ and virtual items are not considered to be ‘something of value’ 4. There is also no possibility of direct financial return in these transactions. Such predatory monetization schemes can be understood with reference to the concept of ‘entrapment’ 5 (i.e. the belief that one has invested too much to quit). In situations of this nature, players will often spend an escalating amount of money that begets further spending on the game. The investment of an irretrievable sum of money in pursuit of desirable virtual items may be seen by players as an investment to the extent that it will increase the likelihood of obtaining these items 6. In this connection, spending more and more money on loot boxes may have a ‘sunk cost’ effect that serves to justify continued expenditure. Entrapment by microtransactions may occur because the costs are less salient 7, because these transactions are represented as virtual credits or credit card debt. Sunk cost effects may also operate vicariously 8 via exposure to proximal on-line players who are entrapped and make maladaptive purchasing decisions. Observing other players’ spending and opening of loot boxes with favourable outcomes may provoke counterfactual comparisons (e.g. ‘If only I had spent more …’) that sustain players’ spending 9. Another noteworthy aspect of predatory monetization is the collection and use of individual player data to manipulate the nature and presentation of purchasing offers in ways that maximize the likelihood of the player spending money. Some schemes may exploit an information asymmetry (i.e. the game system knows more about the player than the player can know about the game) to adjust the prices of virtual items for players depending on their playing and spending habits in the game 10, 11. Players may not be aware or informed of the odds of receiving desired items from microtransactions, and the game may use pressuring tactics to incentivize purchases (e.g. so-called ‘limited time’ offers). These schemes may entice some players with access to credit cards to spend more money than they can afford 12. Younger players may be particularly less equipped to critically appraise the value proposition of these schemes. These technological developments highlight the evolving financial nature of gaming products and patterns of monetary overcommitment observed in relation to electronic gambling machines. Emerging research evidence and clinical case reports are beginning to highlight the financial risks of these schemes 13-15. Some news stories have reported on teenagers spending thousands of dollars on microtransactions 16. Individuals seeking treatment for internet gaming disorder (IGD) have reported large debts due to microtransactions 17. There are regulatory challenges, including the need for countermeasures and safeguards to protect consumers. In 2016, the Chinese government passed legislation that required game developers to disclose the odds of receiving certain items from loot boxes. In 2018, the Belgium Gambling Commission declared that loot boxes are in violation of gambling legislation 18. Such responses appear necessary, given that gaming companies have implemented little to nothing by way of social responsibility measures. More research is needed to understand the financial aspects of on-line games and their relationship to persistent play and the onset of problematic gaming. Cases of IGD involving monetized games may be more financially involved and share features in common with gambling disorder (e.g. spending more than one can afford, borrowing or stealing money). A logical next step for addiction research is to examine different types of monetization and their association with IGD symptoms and gaming-related harms. Such work has important implications for enhancing our understanding of individuals whose spending behavior in games appears excessive and who may be experiencing harm because of their gaming behavior. None. This work received financial support from a Discovery Early Career Researcher Award (DECRA) DE170101198 funded by the Australian Research Council (ARC).",2018,Addiction,Daniel L. King; Paul Delfabbro,editorial,231,D1
W2165185488,24058355,10.3389/fpsyg.2013.00608,"Individual differences in motives, preferences, and pathology in video games: the gaming attitudes, motives, and experiences scales (GAMES)","A new measure of individual habits and preferences in video game use is developed in order to better study the risk factors of pathological game use (i.e., excessively frequent or prolonged use, sometimes called ""game addiction""). This measure was distributed to internet message boards for game enthusiasts and to college undergraduates. An exploratory factor analysis identified 9 factors: Story, Violent Catharsis, Violent Reward, Social Interaction, Escapism, Loss-Sensitivity, Customization, Grinding, and Autonomy. These factors demonstrated excellent fit in a subsequent confirmatory factor analysis, and, importantly, were found to reliably discriminate between inter-individual game preferences (e.g., Super Mario Brothers as compared to Call of Duty). Moreover, three factors were significantly related to pathological game use: the use of games to escape daily life, the use of games as a social outlet, and positive attitudes toward the steady accumulation of in-game rewards. The current research identifies individual preferences and motives relevant to understanding video game players' evaluations of different games and risk factors for pathological video game use.",2013,Frontiers in Psychology,Joseph Hilgard; Christopher R. Engelhardt; Bruce D. Bartholow,article,149,D1
W2962510585,,10.1016/j.chb.2019.07.017,Unfair play? Video games as exploitative monetized services: An examination of game patents from a consumer protection perspective,"Video games as a consumer product have changed significantly with the advent of in-game purchasing systems (e.g., microtransactions, ‘loot boxes’). This review examines consumer protections related to in-game purchasing by anticipating some of the potential design strategies that might contribute to higher risk consumer behavior. Attention was directed towards the analysis of patents for potential in-game purchasing systems, with 13 identified on Google Patents. The design features were analysed in relation to the consumer rights and guarantees described in the terms of use agreements of the patent assignees. The analysis revealed that some in-game purchasing systems could be characterized as unfair or exploitative. These systems describe tactics that capitalize on informational advantages (e.g., behavioral tracking) and data manipulation (e.g., price manipulation) to optimize offers to incentivize continuous spending, while offering limited or no guarantees or protections (e.g., refund entitlement), with the potential to exploit vulnerable players (e.g., adolescents, problematic gamers). These findings are critically discussed in relation to behavioral economics, addiction psychology, and the clinical conceptualization of gaming disorder. Appropriate policy and consumer protection measures, psychologically informed interventions, and ethical game design guidelines are needed in order to protect the interests and wellbeing of consumers.",2019,Computers in Human Behavior,Daniel L. King; Paul Delfabbro; Sally Gainsbury; Michael Dreier; Nancy Greer,article,183,D1
W2113525887,,10.1016/j.geb.2012.05.007,Social framing effects: Preferences or beliefs?,,2012,Games and Economic Behavior,Tore Ellingsen; Magnus Johannesson; Johanna Möllerström; Sara Munkhammar,article,261,D1
W1975555673,,10.1111/j.1756-2171.2006.tb00034.x,An empirical model of firm entry with endogenous product-type choices,I describe a model of entry with endogenous product-type choices. These choices are formalized as the outcomes of a game of incomplete information in which rivals' differentiated products have nonuniform competitive effects on profits. I estimate the model for location choices in the video retail industry using a nested fixed-point algorithm solution. The results imply significant returns to product differentiation. Simulations illustrate the tradeoff between demand and intensified competition and the extent to which markets with more scope for differentiation support greater entry.,2006,The RAND Journal of Economics,Katja Seim,article,692,D1
W2592577925,,10.1109/icc.2017.7996862,Prospect theory for enhanced cyber-physical security of drone delivery systems: A network interdiction game,"The use of unmanned aerial vehicles (UAVs) as delivery systems of online goods is rapidly becoming a global norm, as corroborated by Amazon's “Prime Air” and Google's “Project Wing” projects. However, the real-world deployment of such drone delivery systems faces many cyber-physical security challenges. In this paper, a novel mathematical framework for analyzing and enhancing the security of drone delivery systems is introduced. In this regard, a zero-sum network interdiction game is formulated between a vendor, operating a drone delivery system, and a malicious attacker. In this game, the vendor seeks to find the optimal path that its UAV should follow, to deliver a purchase from the vendor's warehouse to a customer location, to minimize the delivery time. Meanwhile, an attacker seeks to choose an optimal location to interdict the potential paths of the UAVs, so as to inflict cyber or physical damage to it, thus, maximizing its delivery time. First, the Nash equilibrium point of this game is characterized. Then, to capture the subjective behavior of both the vendor and attacker, new notions from prospect theory are incorporated into the game. These notions allow capturing the vendor's and attacker's (i) subjective perception of attack success probabilities, and (ii) their disparate subjective valuations of the achieved delivery times relative to a certain target delivery time. Simulation results have shown that the subjective decision making of the vendor and attacker leads to adopting risky path selection strategies which inflict delays to the delivery, thus, yielding unexpected delivery times which surpass the target delivery time set by the vendor.",2017,,Anibal Sanjab; Walid Saad; Tamer Başar,article,154,D1
W2006954354,,10.1016/j.ijpe.2012.08.017,Impact of loss aversion on the newsvendor game with product substitution,,2012,International Journal of Production Economics,Wei Liu; Shiji Song; Cheng Wu,article,83,D1
