pmid,tier,model,sample_idx,verdict,domains,reason,parse_error,error,latency_s,cost_usd
32106893,haiku,claude-haiku-4-5,0,Exclude,,"Gaming disorder prevalence study lacking focus on target behaviors: item hoarding, loot boxes, inventory management, completionism, or backlog accumulation.",,,16.87,0.014099
32106893,haiku,claude-haiku-4-5,1,Exclude,,"Survey of gaming disorder prevalence; does not examine hoarding, gacha, inventory, completionism, or backlog behaviors.",,,15.76,0.011124
32106893,haiku,claude-haiku-4-5,2,Maybe,D3,Mentions microtransactions and gaming disorder; full-text review needed to determine if collecting behavior is explicitly examined.,,,26.1,0.018229
32106893,sonnet,claude-sonnet-4-6,0,Exclude,,"Focuses on gaming disorder prevalence and motives without examining hoarding, collecting, inventory, or loss-aversion behaviors.",,,2.73,0.014222
32106893,sonnet,claude-sonnet-4-6,1,Exclude,,"Focuses on gaming disorder prevalence and motivations; no behavioral or psychological measures of hoarding, collecting, or loss aversion in games.",,,2.94,0.001768
32106893,sonnet,claude-sonnet-4-6,2,Exclude,,"Focuses on gaming disorder prevalence and motives without examining hoarding, collecting, or loss-aversion behaviors in game contexts.",,,3.23,0.001738
32106893,opus,claude-opus-4-7,0,Maybe,D3,Survey mentions microtransaction use among Irish gamers but focuses on gaming disorder generally; full-text needed to assess loot-box/collecting content.,,,4.39,0.103875
32106893,opus,claude-opus-4-7,1,Maybe,D3,Survey includes microtransaction use among Irish gamers but focuses on gaming disorder generally; full-text needed to assess loot box/gacha behavioral content.,,,3.64,0.014118
32106893,opus,claude-opus-4-7,2,Maybe,D3,Survey includes microtransaction use among gaming-disorder measures but lacks behavioral/psychological depth on loot boxes; full-text needed.,,,3.12,0.013743
38603322,haiku,claude-haiku-4-5,0,Exclude,,Examines pandemic-era mobile gaming and spending preferences; lacks connection to hoarding or related psychological constructs.,,,21.21,0.014599
38603322,haiku,claude-haiku-4-5,1,Exclude,,"Examines pandemic impact on locative gaming spending preferences, not hoarding, loss aversion, or compulsive-buying constructs.",,,21.5,0.014264
38603322,haiku,claude-haiku-4-5,2,Exclude,,"Addresses pandemic locative gaming and revenue model adaptation; no hoarding, loot box, or behavioral domain match.",,,13.19,0.009904
38603322,sonnet,claude-sonnet-4-6,0,Exclude,,"Focuses on pandemic mobility and microtransaction spending behavior without examining hoarding, collecting, or psychological ownership constructs.",,,3.17,0.014151
38603322,sonnet,claude-sonnet-4-6,1,Exclude,,"Focuses on COVID-19 impacts on locative gaming and social behavior; microtransaction mention is economic context, not behavioral/psychological hoarding measure.",,,2.83,0.001823
38603322,sonnet,claude-sonnet-4-6,2,Exclude,,"Focuses on pandemic impacts on locative gaming mobility; no behavioral/psychological measures of hoarding, collecting, or loss aversion.",,,3.19,0.001733
38603322,opus,claude-opus-4-7,0,Exclude,,"Study examines mobile locative gaming behavior during COVID-19 without measuring hoarding, loss aversion, or collecting constructs relevant to the review.",,,3.15,0.103537
38603322,opus,claude-opus-4-7,1,Exclude,,"Study examines mobile locative gaming behavior during COVID-19 with microtransaction spending as context, but no hoarding, collecting, or loss-aversion measures.",,,3.36,0.013959
38603322,opus,claude-opus-4-7,2,Exclude,,"Study examines mobile locative gaming behavior during COVID-19; microtransactions discussed only as revenue model, not as hoarding, collecting, or loss-aversion behavior.",,,3.51,0.014334
41140132,haiku,claude-haiku-4-5,0,Exclude,,Editorial without original empirical data; protocol excludes editorials per criterion 4.,,,13.54,0.010311
41140132,haiku,claude-haiku-4-5,1,Exclude,,Editorial without original data explicitly excluded per exclusion criterion 4.,,,14.96,0.010581
41140132,sonnet,claude-sonnet-4-6,0,Exclude,,Editorial opinion piece without original data; excluded per exclusion criterion 4.,,,2.9,0.013408
41140132,sonnet,claude-sonnet-4-6,2,Exclude,,Editorial without original data; excluded per exclusion criterion 4 (editorials without original data).,,,2.91,0.013483
